InvoiceDate,Qnty
2014-08-04,260.0
2014-08-05,160.0
2014-08-06,41.0
2014-08-07,68.0
2014-08-09,30.0
2014-08-10,223.0
2014-08-11,55.0
2014-08-12,6.0
2014-08-13,150.0
2014-08-14,75.0
2014-08-16,37.0
2014-08-17,230.0
2014-08-18,15.0
2014-08-19,3.0
2014-08-20,14.0
2014-08-21,139.0
2014-08-24,118.0
2014-08-25,5.0
2014-08-26,92.0
2014-08-27,130.0
2014-08-28,55.0
2014-08-30,39.0
2014-08-31,95.0
2014-09-01,71.0
2014-09-02,75.0
2014-09-03,150.0
2014-09-04,80.0
2014-09-06,70.0
2014-09-07,10.0
2014-09-08,92.0
2014-09-09,107.0
2014-09-10,72.0
2014-09-11,31.0
2014-09-13,42.0
2014-09-14,28.0
2014-09-15,217.0
2014-09-16,290.0
2014-09-17,31.0
2014-09-18,170.0
2014-09-20,184.0
2014-09-21,135.0
2014-09-22,162.0
2014-09-23,10.0
2014-09-25,40.0
2014-09-27,115.0
2014-09-28,40.0
2014-10-01,90.0
2014-10-02,12.0
2014-10-07,6.0
2014-10-08,50.0
2014-10-09,70.0
2014-10-11,5.0
2014-10-12,25.0
2014-10-13,20.0
2014-10-14,10.0
2014-10-16,5.0
2014-10-18,16.0
2014-10-20,5.0
2014-10-21,18.0
2014-10-23,10.0
2014-10-25,25.0
2014-10-27,5.0
2014-10-28,50.0
2014-10-30,46.0
2014-11-01,40.0
2014-11-03,65.0
2014-11-05,23.0
2014-11-08,10.0
2014-11-09,11.0
2014-11-10,80.0
2014-11-11,4.0
2014-11-13,5.0
2014-11-15,26.0
2014-11-16,15.0
2014-11-17,2.0
2014-11-18,10.0
2014-11-20,11.0
2014-11-23,19.0
2014-11-25,6.0
2014-11-26,4.0
2014-11-27,157.0
2014-11-29,330.0
2014-12-01,10.0
2014-12-02,50.0
2014-12-03,16.0
2014-12-04,98.0
2014-12-06,27.0
2014-12-07,15.0
2014-12-08,160.0
2014-12-09,25.0
2014-12-10,16.0
2014-12-11,20.0
2014-12-14,8.0
2014-12-17,60.0
2014-12-18,98.0
2014-12-20,135.0
2014-12-21,87.0
2014-12-22,50.0
2014-12-24,40.0
2014-12-28,120.0
2014-12-30,130.0
2014-12-31,80.0
2015-01-01,90.0
2015-01-03,172.0
2015-01-06,18.0
2015-01-07,34.0
2015-01-08,290.0
2015-01-10,185.0
2015-01-11,41.0
2015-01-12,60.0
2015-01-13,37.0
2015-01-14,35.0
2015-01-15,55.0
2015-01-17,30.0
2015-01-18,101.0
2015-01-19,73.0
2015-01-20,165.0
2015-01-21,32.0
2015-01-22,35.0
2015-01-24,10.0
2015-01-25,85.0
2015-01-26,45.0
2015-01-27,23.0
2015-01-28,50.0
2015-01-29,10.0
2015-01-31,70.0
2015-02-01,171.0
2015-02-02,8.0
2015-02-03,60.0
2015-02-04,80.0
2015-02-07,20.0
2015-02-08,100.0
2015-02-09,50.0
2015-02-11,30.0
2015-02-12,60.0
2015-02-14,137.0
