InvoiceDate,Qnty
2014-08-21,50.0
2014-08-23,30.0
2014-08-24,326.0
2014-08-26,292.0
2014-08-27,62.0
2014-08-28,20.0
2014-08-30,101.0
2014-08-31,138.0
2014-09-01,20.0
2014-09-03,271.0
2014-09-04,70.0
2014-09-06,31.0
2014-09-07,25.0
2014-09-08,1.0
2014-09-09,342.0
2014-09-10,102.0
2014-09-11,72.0
2014-09-14,200.0
2014-09-15,109.0
2014-09-16,65.0
2014-09-17,468.0
2014-09-18,82.0
2014-09-20,310.0
2014-09-21,44.0
2014-09-22,85.0
2014-09-23,22.0
2014-09-24,50.0
2014-09-25,145.0
2014-09-27,50.0
2014-10-01,10.0
2014-10-02,3.0
2014-10-08,4.0
2014-10-09,66.0
2014-10-11,130.0
2014-10-12,300.0
2014-10-13,205.0
2014-10-14,100.0
2014-10-15,50.0
2014-10-16,100.0
2014-10-18,190.0
2014-10-19,20.0
2014-10-20,17.0
2014-10-22,150.0
2014-10-23,24.0
2014-10-26,40.0
2014-10-27,2.0
2014-10-28,282.0
2014-10-29,80.0
2014-10-30,50.0
2014-11-01,400.0
2014-11-02,1.0
2014-11-03,3.0
2014-11-05,20.0
2014-11-06,19.0
2014-11-08,70.0
2014-11-09,300.0
2014-11-10,150.0
2014-11-11,10.0
2014-11-13,30.0
2014-11-15,30.0
2014-11-16,200.0
2014-11-17,2.0
2014-11-18,251.0
2014-11-20,300.0
2014-11-23,40.0
2014-11-24,5.0
2014-11-25,80.0
2014-11-26,17.0
2014-11-27,205.0
2014-11-29,110.0
2014-11-30,85.0
2014-12-01,91.0
2014-12-02,230.0
2014-12-03,10.0
2014-12-06,150.0
2014-12-07,50.0
2014-12-08,2.0
2014-12-09,24.0
2014-12-10,130.0
2014-12-11,73.0
2014-12-14,52.0
2014-12-15,10.0
2014-12-16,100.0
2014-12-17,10.0
2014-12-20,20.0
2014-12-21,112.0
2014-12-22,50.0
2014-12-23,7.0
2014-12-24,70.0
2014-12-25,50.0
2014-12-27,40.0
2014-12-28,100.0
2014-12-30,145.0
2014-12-31,5.0
2015-01-01,30.0
2015-01-03,325.0
2015-01-04,206.0
2015-01-07,25.0
2015-01-08,70.0
2015-01-11,215.0
2015-01-13,4.0
2015-01-14,3.0
2015-01-15,263.0
2015-01-18,72.0
2015-01-19,30.0
2015-01-20,100.0
2015-01-21,178.0
2015-01-25,151.0
2015-01-26,315.0
2015-01-27,50.0
2015-01-28,30.0
2015-01-29,20.0
2015-02-01,5.0
2015-02-02,20.0
2015-02-03,8.0
2015-02-05,50.0
2015-02-07,252.0
2015-02-08,55.0
2015-02-09,15.0
2015-02-11,1.0
2015-02-12,390.0
2015-02-14,140.0
2015-02-15,10.0
2015-02-16,50.0
2015-02-18,5.0
2015-02-19,40.0
2015-02-21,55.0
2015-02-22,5.0
2015-02-23,240.0
2015-02-24,105.0
2015-02-25,1.0
2015-02-28,15.0
2015-03-03,1.0
2015-03-04,15.0
2015-03-05,155.0
2015-03-07,34.0
2015-03-08,2.0
2015-03-10,14.0
2015-03-12,10.0
2015-03-15,26.0
2015-03-17,15.0
2015-03-18,200.0
2015-03-19,10.0
2015-03-21,25.0
2015-03-22,60.0
2015-03-23,10.0
2015-03-24,90.0
2015-03-26,24.0
2015-03-28,20.0
2015-03-29,15.0
2015-03-30,50.0
2015-03-31,3.0
2015-04-01,35.0
2015-04-05,11.0
2015-04-06,52.0
2015-04-07,210.0
2015-04-08,100.0
2015-04-09,30.0
2015-04-12,100.0
2015-04-13,120.0
2015-04-14,10.0
2015-04-15,21.0
2015-04-16,71.0
2015-04-18,7.0
2015-04-19,80.0
2015-04-20,22.0
2015-04-21,11.0
2015-04-22,5.0
2015-04-25,50.0
2015-04-27,15.0
2015-04-29,1.0
2015-04-30,10.0
2015-05-02,80.0
2015-05-05,125.0
2015-05-06,3.0
2015-05-07,20.0
2017-01-08,150.0
2017-01-10,250.0
2017-01-11,95.0
2017-01-12,30.0
2017-01-17,30.0
2017-01-18,20.0
2017-01-19,50.0
2017-01-21,140.0
2017-01-22,136.0
2017-01-23,80.0
2017-01-24,6.0
2017-01-25,46.0
2017-01-26,50.0
2017-01-28,213.0
2017-01-29,250.0
2017-01-30,248.0
2017-01-31,12.0
2017-02-01,130.0
2017-02-02,190.0
2017-02-04,388.0
2017-02-05,43.0
2017-02-06,160.0
2017-02-07,260.0
2017-02-08,276.0
2017-02-09,380.0
2017-02-11,60.0
2017-02-12,422.0
2017-02-13,400.0
2017-02-14,45.0
2017-02-15,60.0
2017-02-16,60.0
2017-02-18,26.0
2017-02-19,261.0
2017-02-20,15.0
2017-02-21,205.0
2017-02-22,20.0
2017-02-23,80.0
2017-02-25,70.0
2017-02-26,242.0
2017-02-27,60.0
2017-02-28,260.0
2017-03-01,55.0
2017-03-02,82.0
2017-03-04,20.0
2017-03-05,20.0
2017-03-06,10.0
2017-03-08,160.0
2017-03-09,45.0
2017-03-11,94.0
2017-03-12,42.0
2017-03-13,20.0
2017-03-14,150.0
2017-03-15,152.0
2017-03-16,61.0
2017-03-18,108.0
2017-03-19,12.0
2017-03-20,431.0
2017-03-21,4.0
2017-03-23,276.0
2017-03-25,60.0
2017-03-26,121.0
2017-03-27,8.0
2017-03-28,80.0
2017-03-29,41.0
2017-03-30,80.0
2017-04-01,80.0
2017-04-02,196.0
2017-04-03,276.0
2017-04-04,24.0
2017-04-05,11.0
2017-04-06,110.0
2017-04-08,101.0
2017-04-09,92.0
2017-04-10,40.0
2017-04-11,150.0
2017-04-12,320.0
2017-04-13,35.0
2017-04-15,18.0
2017-04-16,120.0
2017-04-17,5.0
2017-04-18,58.0
2017-04-19,80.0
2017-04-20,1.0
2017-04-22,101.0
2017-04-23,10.0
2017-04-24,191.0
2017-04-25,10.0
2017-04-26,110.0
2017-04-27,14.0
2017-04-29,150.0
2017-04-30,130.0
2017-05-01,282.0
2017-05-02,48.0
2017-05-03,300.0
2017-05-04,30.0
2017-05-06,220.0
2017-05-07,40.0
2017-05-08,34.0
2017-05-09,55.0
