InvoiceDate,Qnty
2014-08-04,100.0
2014-08-05,230.0
2014-08-06,131.0
2014-08-07,220.0
2014-08-10,650.0
2014-08-11,18.0
2014-08-12,30.0
2014-08-13,262.0
2014-08-16,143.0
2014-08-17,280.0
2014-08-18,20.0
2014-08-20,140.0
2014-08-21,106.0
2014-08-23,31.0
2014-08-24,15.0
2014-08-25,60.0
2014-08-26,250.0
2014-08-27,134.0
2014-08-28,176.0
2014-08-30,49.0
2014-08-31,110.0
2014-09-01,70.0
2014-09-02,60.0
2014-09-03,198.0
2014-09-04,150.0
2014-09-06,10.0
2014-09-07,4.0
2014-09-08,12.0
2014-09-09,236.0
2014-09-10,120.0
2014-09-11,110.0
2014-09-13,70.0
2014-09-14,150.0
2014-09-15,715.0
2014-09-16,370.0
2014-09-17,70.0
2014-09-18,445.0
2014-09-20,170.0
2014-09-21,15.0
2014-09-22,30.0
2014-09-23,10.0
2014-09-24,57.0
2014-09-25,220.0
2014-09-28,30.0
2014-10-01,40.0
2014-10-08,100.0
2014-10-18,65.0
2014-10-21,90.0
2014-10-26,10.0
2014-10-27,10.0
2014-10-28,10.0
2014-10-30,110.0
2014-11-01,6.0
2014-11-03,138.0
2014-11-05,2.0
2014-11-08,124.0
2014-11-10,150.0
2014-11-11,10.0
2014-11-12,3.0
2014-11-13,12.0
2014-11-15,50.0
2014-11-16,20.0
2014-11-17,20.0
2014-11-18,8.0
2014-11-19,23.0
2014-11-20,10.0
2014-11-23,25.0
2014-11-24,50.0
2014-11-27,176.0
2014-11-29,375.0
2014-12-01,50.0
2014-12-02,105.0
2014-12-03,20.0
2014-12-04,106.0
2014-12-06,5.0
2014-12-08,409.0
2014-12-10,100.0
2014-12-11,550.0
2014-12-14,33.0
2014-12-16,56.0
2014-12-17,145.0
2014-12-18,5.0
2014-12-20,36.0
2014-12-21,265.0
2014-12-22,175.0
2014-12-23,3.0
2014-12-24,532.0
2014-12-25,17.0
2014-12-27,38.0
2014-12-28,190.0
2014-12-30,30.0
2014-12-31,65.0
2015-01-01,72.0
2015-01-03,340.0
2015-01-04,20.0
2015-01-06,40.0
2015-01-07,104.0
2015-01-08,369.0
2015-01-10,120.0
2015-01-11,200.0
2015-01-12,250.0
2015-01-13,28.0
2015-01-14,210.0
2015-01-15,85.0
2015-01-17,90.0
2015-01-19,135.0
2015-01-20,550.0
2015-01-21,50.0
2015-01-22,125.0
2015-01-25,158.0
2015-01-26,82.0
2015-01-27,100.0
2015-01-28,40.0
2015-01-29,42.0
2015-01-31,322.0
2015-02-01,10.0
2015-02-02,20.0
2015-02-03,18.0
2015-02-04,180.0
2015-02-07,220.0
2015-02-08,200.0
2015-02-09,110.0
2015-02-12,106.0
2015-02-14,37.0
2015-02-16,230.0
2015-02-17,70.0
2015-02-18,8.0
2015-02-19,200.0
2015-02-21,70.0
2015-02-23,315.0
2015-02-24,406.0
2015-02-25,46.0
2015-02-26,210.0
2015-02-28,36.0
2015-03-02,370.0
2015-03-03,85.0
2015-03-04,75.0
2015-03-05,130.0
2015-03-07,75.0
2015-03-08,32.0
2015-03-09,213.0
2015-03-10,21.0
2015-03-11,60.0
2015-03-14,12.0
2015-03-16,5.0
2015-03-17,10.0
2015-03-18,37.0
2015-03-19,29.0
2015-03-21,15.0
2015-03-22,30.0
2015-03-23,20.0
2015-03-24,20.0
2015-03-25,50.0
2015-03-28,30.0
2015-03-29,6.0
2015-03-30,10.0
2015-03-31,162.0
2015-04-01,450.0
2015-04-02,60.0
2015-04-04,212.0
2015-04-06,80.0
2015-04-07,100.0
2015-04-08,20.0
2015-04-09,200.0
2015-04-11,19.0
2015-04-12,20.0
2015-04-13,40.0
2015-04-14,52.0
2015-04-18,18.0
2015-04-19,320.0
2015-04-20,30.0
2015-04-21,13.0
2015-04-22,4.0
2015-04-23,20.0
2015-04-25,235.0
2015-04-26,15.0
2015-04-29,6.0
2015-05-02,256.0
2015-05-03,20.0
2015-05-06,3.0
2017-01-08,432.0
2017-01-09,1334.0
2017-01-10,319.0
2017-01-11,302.0
2017-01-12,738.0
2017-01-16,1457.0
2017-01-17,2175.0
2017-01-18,1782.0
2017-01-19,1802.0
2017-01-21,2725.0
2017-01-22,981.0
2017-01-23,452.0
2017-01-24,150.0
2017-01-25,4.0
2017-01-26,454.0
2017-01-28,200.0
2017-01-29,34.0
2017-01-30,190.0
2017-01-31,480.0
2017-02-01,33.0
2017-02-02,32.0
2017-02-04,959.0
2017-02-05,334.0
2017-02-06,290.0
2017-02-07,360.0
2017-02-08,280.0
2017-02-09,255.0
2017-02-11,89.0
2017-02-12,336.0
2017-02-13,247.0
2017-02-14,10.0
2017-02-15,43.0
2017-02-16,50.0
2017-02-18,2.0
2017-02-19,156.0
2017-02-20,145.0
2017-02-21,38.0
2017-02-22,20.0
2017-02-25,80.0
2017-02-26,60.0
2017-02-27,420.0
2017-02-28,45.0
2017-03-01,45.0
2017-03-02,15.0
2017-03-04,60.0
2017-03-05,250.0
2017-03-06,280.0
2017-03-08,500.0
2017-03-12,80.0
2017-03-13,30.0
2017-03-14,185.0
2017-03-15,80.0
2017-03-16,140.0
2017-03-18,7.0
2017-03-19,150.0
2017-03-20,8.0
2017-03-21,30.0
2017-03-22,325.0
2017-03-23,283.0
2017-03-25,113.0
2017-03-26,284.0
2017-03-27,8.0
2017-03-28,123.0
2017-03-29,10.0
2017-03-30,150.0
2017-04-01,70.0
2017-04-03,160.0
2017-04-05,150.0
2017-04-06,87.0
2017-04-08,178.0
2017-04-09,10.0
2017-04-10,104.0
2017-04-11,20.0
2017-04-12,160.0
2017-04-13,52.0
2017-04-16,180.0
2017-04-17,120.0
2017-04-18,90.0
