,ItemNo,AItemName
1247,2139,مفتاح سخان بيج الفا 20 امبير
1248,214,سخان 50 لترنايم خط 220 ريم
1249,2140,فيش كلاسيك ابيض الفا 15امبير 7*7
1250,2141,فيش كلاسيك بيج الفا 15امبير 7*7
1251,2142,لمبة كشاف 400 شمع مباشر220
1252,2143,شدوصل بارد 63 ملي
1253,2144,توصيلة كهرباء 10 متر SHINE
1254,2145,توصيلة كهرباء 3 متر SHINE
1255,2148,فيش دش بيج NAS- PLUS
1256,4430,مفتاح هندى رقم 13
1257,215,"شدوصل تحويل سن داخلي 90*3"" ملى"
1258,2150,شاكوش ربربلاط ابيض 500 جرام
1259,2151,خلاط مغسلة يوروكيوب جروهي 23127000
1260,2152,سلسلة حديد 10 مم بالمتر
1261,2154,فيش كمبيوترمفرد CAT5ابيض NAS- PLUS
1262,2155,شبكة حراري تركي  18 خط 90*32مم
1263,216,شدوصل تحويل جهتين نحاس 63 ملى
1264,2162,قاطع رئيسى 300A+7*100A+150A+100A شنيدر
1265,2163,مفتاح هندى8 طقم
1266,2164,مفتاح هندى 8 قطع  طقم 8-19
1267,2159,قسام سدة ابيض 110 ملي بحرينى ضغط 40
1268,2165,شرائح ازرق15*15ياردة كورى
1269,2166,"زاوية نجار24"""
1270,2167,عربية براويطة كفر هواء
1271,2161,غطاء زهر شبك بلدية 80 *80سم
1272,2168,فيش كمبيوترمفرد CAT5بيج NAS- PLUS
1273,2169,سلم المنيوم مزدوج 3 درج ربيتال
1274,217,سخان 30 لتر فالنسيا خط 220
1275,2171,كوع فاتح ابلكو 50 ملى (15)
1276,2157,سلم المنيوم مزدوج 7 درج ربيتال
1277,2158,سلم المنيوم مزدوج 8 درج ربيتال
1278,2170,كرسى افرنجى ابيض زهور خزف
1279,2172,"ماسورة بارد 2"" طيار ضغط 80"
1280,2173,"قفيز حديد 4""U هنجر"
1281,2175,سرافيل مسمار الماني50مم
1282,2176,سرافيل مسمار الماني 25 مم
1283,2174,"عوامة خزان 1"" انجليزى دومس"
1284,2177,"جلبة ملبوش بلاستيك3/4"""
1285,2178,"سكر ايطالي 1/2"" EQUA"
1286,2182,كرسى افرنجى  صينى جنب AROSAN
1287,2183,خلاط دش اتوماتيك جلورى جينا
1288,2184,ريشة جبس هولسو40مم
1289,2185,كشاف ليد 10 سم ابيض بينل
1290,2179,سماع دش دونا ايطالي
1291,2187,"ريشة جبس هولسو 114مم ـ 1/2 4"""
1292,2188,فيش كمبيوترمجوز CAT5ابيض NAS- PLUS
1293,218,سخان 50 لتر220 دلفى
1294,2181,"قسام حديد 1"" * 1/2""يابانى"
1295,2180,فيش 15امبيرابيض NAS- PLUS
1296,2186,كيبل 70 *4 خط الفنار
1297,2189,فيش كمبيوترمجوز CAT5بيج NAS- PLUS
1298,219,سخان 50 لتر فالنسيا خط 220
1299,2190,"قفيز مع ربر 1"""
1300,2191,وردة حديد10مم
1301,2192,صامولة حديد10مم
1302,2193,ماسورة تركي 40 ملى
1303,2194,كوع فاتح تركي 40 ملى
1304,2195,ميزان بناء 30 سم
1305,2196,جلبة تركي 40 ملى
1306,2197,قسام تركي 40 ملى
1307,2198,نقاص تركي 40 * 32مم
1308,22,اكسسوارحمام 7000 ستامينا
1309,220,سخان 80 لتر فالنسيا خط 220
1310,2200,ترانس سينار20*220
1311,2201,فيش كمبيوترمجوز CAT6ابيض NAS- PLUS
1312,2202,فيش كمبيوترمجوز CAT6بيج NAS- PLUS
1313,2199,"قفيز مع ربر 1/4-1"""
1314,2203,فيش كمبيوترمفردCAT6بيج NAS- PLUS
1315,2205,سلك جرس لفة1مم
1316,2206,ماسورة اكواثيرم 25 ملى المانى
1317,2207,ماسورة اكواثيرم 32 ملى المانى
1318,2208,جلبة اكواثيرم 25 ملى المانى
1319,2209,جلبة اكواثيرم 32 ملى المانى
1320,221,طبلون 18* 100A الترامع مفتاح كامل
1321,2210,جلبة سنة اكواثيرم 25* 1/2 ملى المانى
1322,2211,كوع اكواثيرم 25  ملى المانى
1323,2212,كوع اكواثيرم 32 ملى المانى
1324,2204,لمبة اصابع المانى 85 وات 220
1325,2214,كوع فاتح اكواثيرم 32 ملى المانى
1326,2215,"كوع سنة اكواثيرم 25* 1/2"" المانى"
1327,2216,قسام اكواثيرم 25 ملى المانى
1328,2217,سدة اكواثيرم 32 ملى المانى
1329,2218,سكر اكواثيرم مخفي كوستا 32 ملى المانى
1330,2219,نقاص اكواثيرم 32 * 25 ملى المانى
1331,2220,"هواية ابيض 3"""
1332,2221,"هواية ابيض 2"""
1333,2222,فيش كمبيوترمفردCAT6 ابيض NAS- PLUS
1334,2223,شطاف ابيض صينىPIE
1335,2213,كوع جمل اكواثيرم 25 ملى المانى
1336,2225,صفاية كروم اتوماتيك 15*15 سم BOLAR
1337,2226,غطاء بلاستيك7سم ابيض NAS PLUS
1338,2227,غطاء بلاستيك7سم بيج NAS PLUS
1339,2224,مغسلة ابيض 603
1340,222,خلاط مجلة خرم 1 -ALEMANIA3502
1341,2228,نيبل كروم 3/4*1/2
1342,2230,"قفيز حديد 6""U هنجر"
1343,2232,ربرستوب باب
1344,2233,عين سحرية
1345,223,سخان 30 لتر ارستون خط 220
1346,2229,شدوصل تحويل نحاس داخلي 32 ملى
1347,2231,خلاط شطاف  100 هنز قروهي
1348,2237,خلاط مجلة خرمHANSGROHE-100
1349,2238,"نقاص ابيض 3"" * 1/2-1"" بلاستيك"
1350,2240,"كوع فاتح حار 2"""
1351,2241,غطاء المونيوم شبك 80*80 سم ضلفتين ربيتال
1352,2243,"ماسورة بارد 1""نيبرو"
1353,2244,"ماسورة بارد 1/2-1""نيبرو"
1354,2245,مسمار خلاط خرم واحد
1355,2246,مسمار خلاط خرم 2
1356,2247,صفاية نحاس  20*20سم GLEFFA
1357,2235,كريك
1358,2234,صاعد نازل هنز قروهي
1359,2236,عصاء سيفون عربي كروم
1360,2248,مغسلة دلاب ابيض 60 سمW2040 ائيديل
1361,2242,سلندرليد 10 وات مدور
1362,2250,صبانة سايل استيل وسط 800 ستاربلس
1363,2251,صبانة شبك مربع
1364,2252,صبانة شبك مستطيل صغيرA2
1365,2253,صبانة هوفمان
1366,2254,مرايا ROSE
1367,2255,صبانة سايل استيل كبير1000 ستاربلس
1368,2256,فيش كمبيوتر مع فيش تليفون بيج NAS PLUS
1369,224,سخان 50 لتر ارستون220
1370,2249,صبانة سايل استيل صغير 500 ستاربلس
1371,2257,فيش كمبيوتر مع فيش تليفون ابيض NAS PLUS
1372,2258,"جلبة سنة قبلان 75 * 1/2-2"""
1373,2259,"جلبة سنة قبلان 110 *4"""
1374,2260,خلاط مغسلة اتوماتيك جلورى جينا
1375,2261,خلاط مجلة جدار اتوماتيك جلورى جينا
1376,2262,خلاط دش جلورى جينا
1377,2263,"مفصلات اصفر جوز 3.5×3"""
1378,2264,"مفصلات عايدي اصفر 3.5×4"""
1379,2265,ربر ستوب باب كبير
1380,2266,كوع جمل قبلان 32 مم
1381,225,سخان 80 لتر ارستون خط 220
1382,2267,"جلبة سنة قبلان 125 *4"""
1383,2268,"جلبة ذكر قبلان  110 * 4"""
1384,2269,اكسسوارحمام اصفرKARBIH
1385,2270,"قاعدةسبورت لايت ذهبي 20"""
1386,2272,"جلبة ذكر قبلان  125 * 4"""
1387,2273,سيفون كرسى عربىSANITالمانى بيج
1388,2274,كوع قبلان 20 ملى
1389,2276,مفتاح مفرد انجليزي 10 امبير MK
1390,2277,مفتاح مجوز انجليزي 10 امبير MK
1391,2278,مفتاح ثلاثي انجليزي10 امبير MK
1392,2275,"قسام سنة قبلان 20*1/2""ملى"
1393,2279,مفتاح مفرد دركسون انجليزي MK
1394,228,سخان 50 لتر هيتيكس خط 220
1395,2280,مفتاح سخان انجليزي 20امبير MK
1396,2281,مفتاح مكييف انجليزي32 امبيرMK
1397,2282,مفتاح جرس انجليزي MK
1398,2283,فيش تليفون انجليزي  MK
1399,2284,فيش دش انجليزي MK
1400,2286,فيش دش انجليزي MK
1401,2287,"نقاص حديد 2"" * 1/2"" يابانى"
1402,2288,"قسام سنة قبلان 3/4""*25ملى"
1403,2289,"قسام سنة قبلان 3/4""*32""ملى"
1404,2271,مغسلة ابيض سناء  خزف
1405,2285,فيش 13امبير MK انجليزى
1406,2292,طبلون 36 * 150A الترا اوربى مع مفتاح كامل
1407,2293,طبلون 24 * 100A الترا اوربى مع مفتاح كامل
1408,2294,طبلون 8 * 100A الترا اوربى
1409,2295,"سكر ايطالي 1/2-1"" EQUA"
1410,2296,سخان 100 لترنايم ارستون 220
1411,2297,مغطس 70*150 فوق البلاط ابيض بدر
1412,2298,سلم المنيوم مزدوج 3 درج ريتالو
1413,2290,كرسى افرنجى سناء خزف
1414,2291,مغسلة ابيض زهور خزف
1415,229,سخان 30 لتر سعودى خزف 220 ضمان وكيل
1416,2299,مغسلة ابيض فلورا  خزف
1417,23,اكسسوارحمام كلاسيك
1418,2300,مغسلة ابيض مرمر خزف
1419,2303,لمبة لوسي ايطالي R-63
1420,2304,جلبة نامات 75 ملى
1421,2305,كوع نامات 75 ملى
1422,2306,قسام واي نامات 75  ملى
1423,2309,وراقة كبير
1424,2302,قسام واي ابلكو 200 * 200 ملى
1425,2311,مقبض شاور30 سم 304 AC058
1426,2312,سلة قمامة
1427,2314,قاعدة سماع دش ستاربلس
1428,2317,قاعدة نجف بغطاء 2*40 *110*518
1429,2318,شبكة حرارى قبلان 16خط 90*32 ملى معزول
1430,2319,خلاط مغسلة اتوماتيك جلورى رينا
1431,2320,شبكة حراري تركي 10خط 90× 40مم
1432,2322,"ماسورة بارد 3"" طيار ضغط 80"
1433,2308,مغسلة دلاب استيل 50 سم 8923 دائمند
1434,232,سخان 80 لتر خزف سعودي 220 ضمان وكيل
1435,2307,ماسورة ابيض 160 * 4.7 ملي بحريني
1436,2316,شبكة حرارى قبلان 21خط *90*32 معزول
1437,2324,"قسام بارد 3"" ضغط 80"
1438,2328,اكسسوارحمام BOOSاوريجنل
1439,2329,اكسسوارحمام سلفر 6 قطع 16700
1440,2330,اكسسوارحمام 84500 ستاربلس
1441,2331,شبكة حراري تركي 17 خط 90*32 ملى
1442,2332,قسام قبلان 50*32*50 ملي
1443,2333,قلب باب خشب victoria
1444,2325,"جلبة بارد 3""ضغط 80"
1445,2327,مجرى حديد شينل  طول 3 متر
1446,2326,قلب باب خشب حمام سن
1447,2334,كرسى افرنجى ابيض MA05 ائيديل
1448,2335,شبكة حراري قبلان 29 خط 90*32 ملى معزول
1449,2336,غطاء سيفون كرسى افرنجى زهور خزف
1450,2337,دسك منشارخشب 1/2-4
1451,2338,"دسك منشارخشب 9"""
1452,234,"سكر ايطالي 1/2-1"" GS"
1453,2340,خلاط مغسلة اتوماتيك جلورى روبا
1454,2343,"سكر ايطالي 1"" EQUA"
1455,2342,"جلمبواسود 9"""
1456,2341,شاكوش 1 كيلو برازيلي
1457,2344,"بزبوز ايطالي 1/2"" EQUA"
1458,2339,مفك عادي وجهتين اصفر
1459,2345,خلاط مجلة خرم1 OM
1460,2346,"كوع حديد 2""*1/2"" يابانى"
1461,2348,ماسورة تركي 25 ملى مقاوم الاشعة
1462,2349,سيخ حديد مسسن 8 ملي 3متر
1463,235,"سكر ايطالي 1/2-1"" ONDA"
1464,2350,صامولة حديد12مم
1465,2351,صامولة حديد8مم
1466,2352,خابور حديد انكر اصفر 8 مم
1467,2353,وردة حديد ابيض 8 مم
1468,2354,خابور حديد ابيض 6 مم
1469,2355,مغسلة ابيض 380 ستاربلس
1470,2358,فيش امريكى LEGRAND
1471,2359,"مجرى سيول ربيتال 3"" بالمتر ربيتال"
1472,2361,سخان 30 لتر هيتكس 220
1473,2362,ريشة جبس هولسو121مم4/3/4
1474,2363,ريشة جبس هولسو127مم5
1475,2364,ريشة جبس هولسو146مم5/3/4
1476,2360,"مجرى سيول ربيتال 2"" بالمتر ربيتال"
1477,2365,ريشة جبس هولسو152مم 15سم
1478,2356,شاورزاوية  90*90 فوق البلاط ابيض بدر
1479,2366,مغطس زاوية 130*130 فوق البلاط ابيض بدر
1480,2367,قسام فيش كهرباء جوال
1481,2368,مفك جوال
1482,2369,سماع دش موريس صغير
1483,2373,"وصلة ذكر نحاس 20*3/4"""
1484,2374,"عوامة  خزان 1""سوبر بيكس"
1485,2376,سخان مركزى 40 جالون امريكي
1486,2371,لي خلاط اسباني 50 سم
1487,2372,صبانة 2 دور زاوية
1488,2370,ازميل اسبانى اصلى
1489,2375,مسمار صلب 9* 25 *3سم
1490,237,"سكر ايطالي 2"" ONDA"
1491,2377,دفاش باب 8803 سلور
1492,2378,"سكر ايطالي 1/2-1"" BUGATTI"
1493,2379,شبكة حرارى قبلان 20 خط 90*32 ملى معزول
1494,238,"سكر ايطالي 3"" HBM"
1495,2381,ماسورة اكواثيرم 63 مم 5.8 المانى
1496,2382,"جلبة ذكر اكواثيرم 63* 2"" ملى المانى"
1497,2383,كوع اكواثيرم 63 ملى المانى
1498,2384,"كوع سنة اكواثيرم 32 *1"" المانى"
1499,2385,قسام اكواثيرم 63 ملى المانى
1500,2386,شبكة حرارى السهو 7 خط 63 المانى
1501,2380,مخرج المنيوم
1502,2387,شبكة حرارى السهو 8 خط 90 المانى
1503,2389,مغسلة بيج 306 ائيديل
1504,2390,خلاط بارد M001-201c101
1505,2391,"جلبة سنة ابيض 2""بلاستيك"
1506,2392,رشاش نحاس العايد
1507,2393,عصاء شاكوش ايطالى
1508,2396,سكر قبلان ظاهر حراري 50مم
1509,2397,ديمر2000 شمع ابيض ناس
1510,2395,مغطس 70*170 ابيض بدرفوق بلاط
1511,2394,خزان معزول 4 طبقات4000 لتر
1512,2388,مغطس 160*70 فوق البلاط ابيض بدر
1513,239,"سكر ايطالي 3"" سيوا"
1514,2398,شبكة حرارى قبلان 19خط*90*32 ملى معزول
1515,2399,"جلبة ذكر بارد بلاستيك 3""* 90 ملي"
1516,2400,شاكوش نجار يد حديد صيني
1517,2401,ازميل خشب نجار19 مم
1518,2404,"وصلة ذكر نحاس 25*1""انثى"
1519,2405,مغطس ايناس 80*170 ابيض الحديث
1520,2407,شطاف كروم تركي
1521,2402,فيش HQ-USB
1522,2406,مزراب 4 بوصة بيج ستامينا
1523,2403,كيبل 10*4 خط الرياض
1524,24,فيش كمبيوترلجراند 617091
1525,2408,"قفيز حديد 3""U"
1526,2409,"قفيز حديد 6""U"
1527,2411,سيخ حديد مسسن 6 ملي 3متر
1528,2412,صامولة حديد6مم
1529,2414,مغسلة ابيض 32202 فلورا صينى
1530,2416,مفتاح مفردباناسونيك ابيض عريض
1531,2417,"لي جرجورايطالي 1/2-1"""
1532,2418,خلاط مغسلة اتوماتيك جلورى فيبريكا
1533,2415,"لي ماء*25*1/2"" سعودي هوز"
1534,2410,"جرجوركهرباء حديد 3/4"" 30 متر"
1535,241,سيفون مخفي كرسي عربي قروهي
1536,240,سيفون مخفي كرسي افرنجي قروهي 38642001
1537,2413,سيفون كرسى عربي دومس انجليزى
1538,2419,خلاط دش ذهبي اتوماتيك دوميغاء
1539,2420,سكر غاز1/2نحاس صينى
1540,2421,خلاط مجلة خرم 1 اتوماتيك دوميغاء
1541,2422,خلاط مغسلة ذهبي اتوماتيك دوميغاء
1542,2423,خلاط مجلة جدار اتوماتيك دوميغاء
1543,2424,سلك تربيط22*5 كيلو
1544,2427,جلبة تركى 63 ملى
1545,2428,سدة تركى 90 مم
1546,2426,ماسورة تركي 90 ملى 4 متر
1547,2429,جلبة تركى 90 ملى
1548,243,راس سكر ظرف قروهى3/4 ذهبي
1549,2430,طبلون 36 مفتاح 150A شنيدر
1550,2432,ساعة ضغط 10بار
1551,2434,نقاص سكر غازسنة داخلى
1552,2435,نقاص سكر غازسنة خارجى
1553,2436,مربط كيبل 25 ملى
1554,2438,سلك مفرد 2.5 مم سعودى امريكى
1555,2439,سلك مفرد 4 مم سعودى امريكى
1556,2431,قسام بارد 110 ملي ضغط 80
1557,2433,مفتاح مشترك اتوماتيك 14 مم
1558,244,مروحة شفط مدور 15 سم يابانى
1559,2440,سلك مفرد 6 مم سعودى امريكى
1560,2441,طقم صيني ابلن كي 008
1561,2443,"جلبة ذكر بارد 110*3"""
1562,2445,ساعة ضغط 16بار
1563,2446,ايلن كي طقم صينى
1564,2448,شطاف تريديكس
1565,2449,سكر قبلان ظاهر حراري 75 مم
1566,2444,غطاس بيارة 1HP بيدرولة 10*50
1567,2447,صفاية المنيوم شبك 25*25سم
1568,2442,صفاية كروم كلين اوت15*15سم ايطالى
1569,2437,قلب سخان مركزى 4500 وات
1570,245,مروحة شفط مدور 20 سم يابانى
1571,2450,سكر قبلان ظاهر حراري 63 مم
1572,2451,مرايا E-62
1573,2453,مجلة كوري كوني 150*60 سم
1574,2454,لمبة اصابع المانى 105 شمع 110
1575,2455,قلب سكرتركى 25 ملى
1576,2456,قسام بارد 160 ملي ضغط 80
1577,2457,كرسى افرنجى ابيض 010 ستار بلس
1578,2458,مغطس مستطيل شهرمان200*120 سم ابيض الحديث
1579,2459,كرسى افرنجى  كرات قطعتين ابيض
1580,246,طبلون 42 * 300A الترامع مفتاح كامل
1581,2460,قسام تركي 63 ملى
1582,2461,قسام تركي 90 ملى
1583,2462,سدة تركى 40 مم
1584,2463,سدة تركى 50 مم
1585,2464,سدة تركي 63 مم
1586,2465,سدة تركي 75مم
1587,2466,نقاص تركي 40 * 25مم
1588,2467,نقاص تركي 50 * 25مم
1589,2468,نقاص تركي 50 * 32مم
1590,2469,نقاص تركي 50 * 40مم
1591,2452,فاروع
1592,247,مروحة شفط مربع 15 ماة يابانى
1593,2470,نقاص تركي 63* 25مم
1594,2471,نقاص تركي 63 * 32مم
1595,2472,نقاص تركي 63 * 50 مم
1596,2473,نقاص تركي 75* 50مم
1597,2474,نقاص تركي 75 * 63مم
1598,2475,سيفون كرسى عربي TREEDEX
1599,2476,"قسام بارد 1/2-2""* 75 ملي ضغط80"
1600,2477,دسك صاروخ 12  25.4مم
1601,2478,"دسك صاروخ  14 """
1602,2479,"سدة نحاس 3/4"""
1603,248,مروحة شفط مربع 20 ماة يابانى
1604,2480,عصاء دش
1605,2482,مرايا E-62 -1114
1606,2484,"دينمو 1/2"" قراند فورس CMI 1/2"
1607,2485,شبكة حرارى السهو 5 خط 90 المانى
1608,2486,لقمة لحام 40 ملى تركى
1609,2487,لقمة لحام 50 ملى تركى
1610,2488,لقمة لحام 90 ملى تركى
1611,2489,غطاء المونيوم 70*140سم ريبيتال
1612,249,مروحة شفط مربع 25 ماة يابانى
1613,2483,سخان 15 لتر ارستون خط 220
1614,2481,عصاء فاروع ايطالى
1615,2490,"نقاص بارد20*1/2"" بلاستيك"
1616,2491,نقاص بارد40*32مم بلاستيك
1617,2492,جلبة ذكر بارد 90 ملي
1618,2494,نقاص بارد 40*50مم بلاستيك
1619,2496,فيش 13امبير 14*7 مجوز انجليزى MK
1620,2497,برواز مكيف خشب
1621,2498,بيدى ابيض ستار بلس201-M
1622,250,مروحة شفط مربع 30 ماة يابانى
1623,2501,لي خلاط اسباني 60 سم
1624,2502,طبلون 42 * 200A الترامع مفتاح كامل
1625,2499,مفتاح مجوزباناسونيك ابيض عريض
1626,25,غطاء بلاستيك7سم لجراند617128
1627,2500,شبكة حرارى قبلان 14خط*90*32 ملى
1628,2495,جلبة بارد 32 ملي ضغط80
1629,2503,جلبة سنة بارد 1/2-2
1630,2504,شاكوش 2 كيلوبرازيلي
1631,2506,كوع بارد 160 ملي ضغط80
1632,2507,مبرد
1633,2508,جلبة ذكر بارد 63 ملي
1634,2509,سخان فورى جاردن SAFE
1635,2510,"دينمو سخان مركزي 1""المانى HALM"
1636,2511,"غطاس 1/2-1""بيدرلا ايطالى NKM4-3"
1637,2512,"جلمبو 14"" صيني"
1638,2493,نقاص بارد 63*50مم بلاستيك
1639,2513,كيبل 185 *4 ملى عادى
1640,2505,مصيدة حشرات 2*8
1641,251,سيفون كرسي افرنجي ضغط فوق موريس
1642,2518,ماسورة رمادى 110*8.2 ملي نيبرو
1643,2519,غطاء كرسى افرنجى 010 بيج ستاربلس
1644,2521,شبكة حراري تركي 8خط 63مم
1645,2524,سيفون كرسى عربي شينل
1646,2515,غطاء المونيوم ضلفتين 100*100سم ريبيتال
1647,2523,كنيكتربلاستيك 16مم
1648,2514,نحاس 25 مم معزول
1649,2517,صفاية كروم كلين اوت15*15سم BERNALDO
1650,2516,غطاء كرسي افرنجى 032 بيج
1651,2522,كنيكتربلاستيك 25مم
1652,2525,خلاط مغسلة طويل ORiENT STANDARD
1653,2527,فيش 13 امبيرلجراند بني
1654,253,سيفون كرسي افرنجي صينى
1655,2531,"لي ماء 25 متر 3/4""العابد"
1656,2533,قاعدة نجف بغطاء 2*20 خط 220*521
1657,2534,علبة حديد7*7سم مجوز الرائد
1658,2520,"اسبانر 12"" صينى"
1659,252,سيفون كرسي افرنجي اسبانى
1660,2530,"لي ماء 1/2""50 مترالعابد"
1661,2529,"لي ماء 1/2""25 مترالعابد"
1662,2528,قسام كهرباء 20 ملي 4 خط ايجاء
1663,2526,"رداد نايم ايطالي 1"""
1664,2532,"لي ماء 1""*25 مترالعابد"
1665,2535,علبة حديد7*7سم ثلاثى الرائد
1666,2536,علبة حديد7*7سم رباعى الرائد
1667,2538,خلاط دش اتوماتيك ميتورىM 80043
1668,2541,"نقاص حديد 1/2-1"" * 1"" صينى"
1669,2542,عصاء كريك ايطالي
1670,2544,خلاط مجلة خرم 1اتوماتيك ميتورى 70084
1671,2543,مفتاح ثلاثى باناسونيك ابيض عريض
1672,2783,طبلون 42 * 250A الترا ريسان مع مفتاح كامل
1673,2540,شاورمربع 90*90 سم فوق بلاط ابيض بدر
1674,2546,قسام بارد 32 *20 ملي ضغط80
1675,2547,شطاف كروم ZAIN صينى
1676,2553,قسام بارد 40 *20 ملي ضغط80
1677,2554,"سكر زاوية 1/2"" اسباني ذهبي"
1678,2555,سماع دش MILANO
1679,2548,مرايا ليد 02/08 ستاربلس
1680,2549,قش مكيف صحراوى 18*48
1681,2551,سلك فيرالارم حريق بلدن 9575
1682,254,سيفون افرنجي 032
1683,2545,خلاط مغسلة شلال ستاربلس
1684,2550,مروحة شفط حديد F20ASC220 كوري
1685,2556,سماع دش CRONA
1686,2557,كرسى افرنجى ابيض 090*30 ستار بلس
1687,2558,شاورزاوية 80*80 فوق البلاط ابيض بدر
1688,2560,جلبة قبلان 75 ملى
1689,2561,شدوصل ذكر نحاس 25*3/4
1690,2562,راس شطاف المانى KISTENMACHER
1691,2563,"غليون ابيض 4"" * 2"""
1692,2564,توفيرماء
1693,2565,كيبل 240 مم
1694,2566,غطاء مجلفن 80*80 سم
1695,255,اتوماتيك دينمو كهرباءايطالي ميكسيكي
1696,2559,"بكرة مع لي العابد 1/2"" 50 متر"
1697,257,اتوماتيك دينمو ايطالي BRIO-2000-M
1698,2571,سكر تركي ظاهر 25 مم
1699,2572,سكر تركى 40 مم سكين
1700,2573,"شدوصل ذكر تركي 40*1/14""نحاس"
1701,2574,سكر غاز1/2نحاس ايطالي
1702,2575,"سكر زاوية 1/2"" مخرجين DOLPHY"
1703,2577,1
1704,2576,شبكة حرارى قبلان 8 خط 90*40 ملى معزول
1705,2569,سلم المنيوم مزدوج 6 درج ربيتال
1706,2567,لي كهرباء 16 ملي مصنع نرنو
1707,2578,كرسى عربى بيج ستار بلس
1708,2579,سماع دش مع لى (sm83)
1709,258,"سكر ايطالي 1/2-1"" KRISTY"
1710,2581,ديمر1000 شمع ابيض بانسونيك عريض
1711,2582,سلم المنيوم مزدوج 12 درج ربيتال
1712,2583,خلاط مغسلة ليزر 122 ستاربلس
1713,2584,شبكة حرارى قبلان 15خط سكين*90*32 ملى
1714,2585,شبكة حرارى تركى 16خط 90*32 ملى سكر سكين
1715,2586,خلاط مجلة خرم 1 كريمرG0527
1716,2587,شطاف قروهي كروم NEW
1717,2580,شبكة حرارى قبلان 7خط 90× 32 ملى معزول
1718,259,"سكر ايطالي 1/4-1"""
1719,2592,سستا كهرباء 5 متر
1720,2593,توصيلة كهرباء3متر hi
1721,2594,توصيلة كهرباء5 متر mpm
1722,2598,قفل علاقى fm
1723,2595,قفل علاقى 50
1724,2597,حوض مغسلة 60 سم ابيض ميلانو
1725,2596,سكر سكين بارد شدوصل 3/4ملي ضغط 80
1726,2590,خلاط مغسلة اتوماتيك صغير كرت
1727,2588,خلاط دش كرت
1728,2591,خلاط شطاف اتوماتيك كرت
1729,2589,خلاط مغسلة اتوماتيك طويل كرت
1730,260,"سكر ايطالي 2"" HBM"
1731,2600,كشاف ليد 200 وات KSRاصفر
1732,2601,صاعد نازل ايطالي ( ماياز )
1733,2603,خلاط مغسلة اتوماتيك( لاقو )
1734,2604,خلاط دش اتوماتيك ( لاقو )
1735,2605,خلاط مجلة جدارى اتوماتيك ( لاقو )
1736,2606,خلاط مجلة خروم 1 اتوماتيك ( لاقو )
1737,2607,خلاط مجلة خرم 1 ( لاقو )
1738,2608,"نقاص حار 1/2-1"" *3 """
1739,2599,شبكة حرارى تركى 7 خط 90 مم
1740,2602,سلك مبروم 1.5 مم 4 خط
1741,26,انتركام 1 دوركورى
1742,2609,"سكر انجليزى 2.5"" بقلر"
1743,261,"سكر ايطالي 1/2-2"""
1744,2610,شطاف ذهبي ايطالى BTC
1745,2611,شبكة حراري قبلان 32 خط 90*32 ملى معزول
1746,2613,دينمو ضخط 1/4 صيني 105/20160
1747,2614,دينمو ضخط 1/2 كورى
1748,2615,شبكة حراري قبلان 35 خط 90*32 ملى معزول
1749,2616,هراب مغسلة قلاب + كاسه
1750,2617,غطاس بيارة 2 قراند فورس
1751,2618,شبكة حرارى قبلان 7خط 63*32 ملى معزول
1752,2612,لمبة اصابع الماني 16 شمع خط 110
1753,503,سلك تربيط22*7 كيلو
1754,2619,طبلون 48 مفتاح 250A رئيسان
1755,262,"سكر ايطالي 1"" ZAIN"
1756,2622,سيفون افرنجي استار بلس كامل
1757,2623,سيفون افرنجي استار بلس نورس
1758,2624,مغسلة ابيض 801 ستار بلس
1759,2625,شبكة حرارى قبلان 5 خط *90مم *40مم
1760,2626,ماسورة رمادى 160*7.7 ملي سابكو
1761,2627,خلاط موضيء ستامينا
1762,2628,مغطس 70*150 تحت البلاط ابيض بدر
1763,2629,"ماسورة ابيض 3"" خفيف 1.7 ضغط 40"
1764,2620,مقص صاج
1765,2621,مقص حرارى قبلان
1766,263,"سكر ايطالي 1/2-1"" STAR PLUS"
1767,2630,مغسلة دلاب ابيض 60 سم 601 ستار بلس
1768,2634,مغطس 140*140 فوق البلاط بيج
1769,2635,قاعدة بيدى
1770,2636,"شدوصل تركى سن داخلي 90 *3"""
1771,2637,دينمو ضخط 1 (صلوانى)
1772,2638,جلبة نحاس 3/8
1773,2639,جلبة ذكر نحاس 1/2
1774,264,"سكر ايطالي 2"" STAR PLUS"
1775,2631,"سكر سكين بارد شدوصل 2"" ملي ضغط 80"
1776,2632,مشط زراعة
1777,2640,كوع نحاس 1*32 بكس
1778,2642,نقاص نحاس 3/4*11/2
1779,2643,نقاص لي بكس 25 ملى
1780,2644,نقاص لي بكس 32 ملى
1781,2645,شماسة بكس بلاستيك
1782,2648,"قسام بارد 50 *1/2-1"" ضغط 80"
1783,2649,سدة بارد 90 ملي
1784,265,"سكر ايطالي 2"" DONA"
1785,2646,كوع ذكر نحاس 1/2
1786,2650,"نقاص بارد 1/2-1""*3/4"
1787,2641,سلك كيمرة  RG-59 بلدن المنيوم
1788,2647,كوع ابيض 2 بحريني ضغط 40
1789,2651,قسام سنة بارد 3/4*1/2
1790,2652,خلاط مغسلة ادسول
1791,2653,خلاط دش ادسول
1792,2654,خلاط مجلة جدار ادسول
1793,2655,"جلبة ذكر حار 1/4-1"" بلاستيك"
